Pos,ID,Name,Endurance Fastest Lap,Endurance Race,Total
1,681489,Karel Pucalka,2,50,52
2,406198,Keiran Smart,0,45,45
3,430559,Jesse Payne-Wilkins,0,40,40
4,181524,Alain McKane,0,35,35
5,492984,Ian Manners,0,0,0
6,720558,Edvin Forslund,0,0,0
7,356615,Ricardo Santos5,0,0,0
8,158246,Gavan Gardener,0,0,0
9,370322,Myles Owens,0,0,0
10,876012,Ben Altria,0,0,0
11,357198,Craig Jones7,0,0,0
12,1007157,Edwin Simpson,0,0,0
13,637216,Russell Fowler,0,0,0
14,238912,Rui R. Reis,0,0,0
