Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,712518,Steven De Greveleer,0,0,18,0,21,39
2,98121,Jeffrey Kruger,1,1,8,1,25,36
3,363804,Erik Sivertsen,0,0,15,0,19,34
4,645127,Elwyn Sykes,0,0,13,0,17,30
5,527169,Andy Rooney,0,0,11,0,16,27
6,900935,Andy Chell,0,0,10,0,14,24
7,562993,Kevin Smith21,0,0,9,0,15,24
8,1035295,Ruben Pinho,0,0,12,0,0,12
9,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
10,565878,Daniel Fritz4,0,0,0,0,0,0
11,668882,Costa Chatzikonstantinou,0,0,0,0,0,0
12,450627,Davide Favo,0,0,0,0,0,0
