Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,493157,Patrick Falconer,0,0,0
2,458422,Lee Horne,0,0,0
3,208620,Martin Brinkworth,0,0,0
