Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,527169,Andy Rooney,0,50,50
2,1090079,Stijn Weytens,0,45,45
3,1095068,Adam Wilson-Weir,2,40,42
4,425754,Kurt Vanhoenacker2,0,35,35
5,645127,Elwyn Sykes,0,30,30
6,1077088,Robert Savage3,0,25,25
7,541161,Jonathan Berry2,0,20,20
8,1115893,Mat Gatter,0,15,15
9,597893,Craig Tillotson5,0,0,0
10,450627,Davide Favo,0,0,0
11,668882,Costa Chatzikonstantinou,0,0,0
12,820470,Gabriel Yilmaz,0,0,0
13,968459,Nathan Lewis-Stone,0,0,0
14,712518,Steven De Greveleer,0,0,0
15,861720,John Meredith3,0,0,0
16,385849,Matt Emmens,0,0,0
17,900935,Andy Chell,0,0,0
18,996524,Gabriel Papaconstantinou,0,0,0
19,724528,Danny Switzer,0,0,0
