Pos,ID,Name,Endurance Fastest Lap,Endurance Race,Total
1,730048,Max Daleiden,0,50,50
2,929713,Toby Prosser,0,45,45
3,436196,Gareth Williams7,0,40,40
4,807048,Benjamin Mccluskey,2,35,37
5,764555,Hugo Silva10,0,30,30
6,505814,William Guthrie,0,25,25
7,744833,Kerr Wharrie,0,0,0
8,801520,Rui Soares3,0,0,0
9,684107,Stephan Wessels,0,0,0
10,144404,Igor Martinez,0,0,0
11,397835,Filipe Salvino,0,0,0
12,717473,Shaun F Schutte,0,0,0
13,417499,Jamie Dorey,0,0,0
