Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,505814,William Guthrie,0,1,18,1,25,45
2,730048,Max Daleiden,0,0,15,0,21,36
3,807048,Benjamin Mccluskey,0,0,13,0,19,32
4,436196,Gareth Williams7,0,0,12,0,17,29
5,417499,Jamie Dorey,0,0,11,0,16,27
6,801520,Rui Soares3,0,0,8,0,15,23
7,144404,Igor Martinez,0,0,9,0,14,23
8,764555,Hugo Silva10,0,0,10,0,13,23
9,717473,Shaun F Schutte,0,0,7,0,12,19
10,684107,Stephan Wessels,1,0,0,0,0,1
11,744833,Kerr Wharrie,0,0,0,0,0,0
12,929713,Toby Prosser,0,0,0,0,0,0
13,397835,Filipe Salvino,0,0,0,0,0,0
