Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,452031,Ben Benneyworth2,2,50,52
2,492984,Ian Manners,0,45,45
3,493157,Patrick Falconer,0,0,0
4,461979,JonathanlCollins3 ,0,0,0
