Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,505814,William Guthrie,1,1,18,1,25,46
2,730048,Max Daleiden,0,0,13,0,21,34
3,807048,Benjamin Mccluskey,0,0,15,0,19,34
4,436196,Gareth Williams7,0,0,12,0,16,28
5,764555,Hugo Silva10,0,0,9,0,17,26
6,801520,Rui Soares3,0,0,10,0,15,25
7,417499,Jamie Dorey,0,0,11,0,14,25
8,744833,Kerr Wharrie,0,0,0,0,0,0
9,929713,Toby Prosser,0,0,0,0,0,0
10,684107,Stephan Wessels,0,0,0,0,0,0
11,144404,Igor Martinez,0,0,0,0,0,0
12,397835,Filipe Salvino,0,0,0,0,0,0
13,717473,Shaun F Schutte,0,0,0,0,0,0
