Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,293812,Miguel Alpalhão,1,1,18,0,19,39
2,95699,Pedro Ramada,0,0,13,0,25,38
3,214278,Mark Baker7,0,0,12,1,21,34
4,872230,Luca Munro,0,0,15,0,17,32
5,547183,Dwayne Hoffman,0,0,11,0,16,27
6,170412,Jorge Bentes,0,0,10,0,14,24
7,532447,Paul N T Williams,0,0,8,0,15,23
8,888953,Wesley Lewin,0,0,9,0,12,21
9,322197,Nathan Healy,0,0,7,0,13,20
10,69997,Ryan G Walker,0,0,0,0,0,0
11,795214,James Smaggasgale,0,0,0,0,0,0
12,839172,Diogo L Sá,0,0,0,0,0,0
