Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,839172,Diogo L Sá,0,0,15,0,21,36
2,293812,Miguel Alpalhão,0,0,6,1,25,32
3,532447,Paul N T Williams,0,0,13,0,17,30
4,872230,Luca Munro,0,0,10,0,19,29
5,795214,James Smaggasgale,0,0,11,0,15,26
6,214278,Mark Baker7,0,0,12,0,14,26
7,547183,Dwayne Hoffman,0,0,8,0,16,24
8,69997,Ryan G Walker,1,1,18,0,0,20
9,170412,Jorge Bentes,0,0,9,0,0,9
10,888953,Wesley Lewin,0,0,7,0,0,7
11,322197,Nathan Healy,0,0,0,0,0,0
12,95699,Pedro Ramada,0,0,0,0,0,0
