Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,839172,Diogo L Sá,1,1,18,1,25,46
2,547183,Dwayne Hoffman,0,0,13,0,19,32
3,532447,Paul N T Williams,0,0,15,0,16,31
4,170412,Jorge Bentes,0,0,10,0,21,31
5,322197,Nathan Healy,0,0,11,0,17,28
6,888953,Wesley Lewin,0,0,12,0,0,12
7,69997,Ryan G Walker,0,0,0,0,0,0
8,795214,James Smaggasgale,0,0,0,0,0,0
9,214278,Mark Baker7,0,0,0,0,0,0
10,95699,Pedro Ramada,0,0,0,0,0,0
11,872230,Luca Munro,0,0,0,0,0,0
12,293812,Miguel Alpalhão,0,0,0,0,0,0
