Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,375113,Mark Sykes,0,50,50
2,1095068,Adam Wilson-Weir,2,45,47
3,712518,Steven De Greveleer,0,40,40
4,900935,Andy Chell,0,35,35
5,1077088,Robert Savage,0,30,30
6,996524,Gabriel Papaconstantinou,0,30,30
7,527169,Andy Rooney,0,20,20
8,541161,Jonathan Berry,0,15,15
9,636532,Simon Hunt,0,13,13
10,888953,Wesley Lewin,0,10,10
11,645127,Elwyn Sykes,0,8,8
12,869824,Samy Ariba,0,6,6
13,1090079,Stijn Weytens,0,4,4
14,1045145,Michael Evangeli,0,2,2
15,1115893,Mat Gatter,0,1,1
16,450627,Davide Favo,0,0,0
17,1117544,Charlie Jopson-Wood,0,0,0
18,820470,Gabriel Yilmaz,0,0,0
19,724528,Danny Switzer,0,0,0
