Pos,ID,Name,Endurance-Endurance Fastest Lap,Endurance-Endurance Race,Total
1,98121,Jeffrey Kruger,0,50,50
2,996524,Gabriel Papaconstantinou,2,45,47
3,1035295,Ruben Pinho,0,40,40
4,645127,Elwyn Sykes,0,35,35
5,527169,Andy Rooney,0,30,30
6,900935,Andy Chell,0,25,25
7,450627,Davide Favo,0,20,20
8,712518,Steven De Greveleer,0,15,15
9,363804,Erik Sivertsen,0,0,0
10,565878,Daniel Fritz4,0,0,0
11,668882,Costa Chatzikonstantinou,0,0,0
12,562993,Kevin Smith21,0,0,0
