Pos,ID,Name,Endurance-Endurance Fastest Lap,Endurance-Endurance Race,Total
1,846950,Matthew Cheverton,0,50,50
2,361745,Jake Pitt,2,45,47
3,452031,Ben Benneyworth2,0,40,40
4,395972,Nigel Stock,0,35,35
5,286267,Phil McDougall,0,30,30
6,385849,Matt Emmens,0,0,0
7,548231,Mark Kent,0,0,0
8,435038,Jochen Siegert,0,0,0
9,725757,Baz Meacham,0,0,0
10,34483,Mike Riedner,0,0,0
11,375113,Mark Sykes,0,0,0
12,566232,Kevin Stringer3,0,0,0
