Pos,ID,Name,Endurance-Endurance Fastest Lap,Endurance-Endurance Race,Total
1,98121,Jeffrey Kruger,2,50,52
2,1035295,Ruben Pinho,0,45,45
3,645127,Elwyn Sykes,0,40,40
4,900935,Andy Chell,0,35,35
5,712518,Steven De Greveleer,0,30,30
6,450627,Davide Favo,0,25,25
7,527169,Andy Rooney,0,20,20
8,996524,Gabriel Papaconstantinou,0,0,0
9,363804,Erik Sivertsen,0,0,0
10,565878,Daniel Fritz4,0,0,0
11,668882,Costa Chatzikonstantinou,0,0,0
12,562993,Kevin Smith21,0,0,0
