Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,725757,Baz Meacham,0,1,31
2,293575,Mathew Addy,0,0,29
3,492984,Ian Manners,0,0,28
4,950943,Harley Bicknell,0,0,28
5,1012459,Kyle Oosthuizen,1,0,23
6,435038,Jochen Siegert,0,0,22
7,532447,Paul N T Williams,0,0,21
8,562993,Kevin Smith21,0,0,18
9,548231,Mark Kent,0,0,18
10,888953,Wesley Lewin,0,0,13
11,98121,Jeffrey Kruger,0,0,13
12,435674,Aaron Hobson,0,0,12
13,648962,Paul Walsh2,0,0,12
14,214278,Mark Baker7,0,0,12
15,375113,Mark Sykes,0,0,11
16,34483,Mike Riedner,0,0,7
17,395972,Nigel Stock,0,0,6
18,792182,Neil Martin4,0,0,3
19,842243,Danny Genovski,0,0,0
20,869824,Samy Ariba,0,0,0
21,568604,Ryan J Blackwell,0,0,0
22,795214,James Smaggasgale,0,0,0
