Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,684107,Stephan Wessels,2,50,52
2,1134363,Dominik Pester,0,45,45
3,969021,Brandon Schmidt3,0,40,40
4,880131,Jack Pittas,0,35,35
5,1113772,Gabriel Rup,0,30,30
6,856565,Harry Langford ,0,25,25
7,436196,Gareth Williams7,0,20,20
8,884532,Harry Hartley-Price,0,15,15
9,813575,Craign Corish,0,13,13
10,876012,Ben Altria,0,10,10
11,669636,Łukasz Sidor,0,8,8
12,417499,Jamie Dorey,0,6,6
13,98121,Jeffrey Kruger,0,4,4
14,807048,Benjamin Mccluskey,0,2,2
15,717473,Shaun F Schutte,0,1,1
16,23406,Wayne Douglas,0,0,0
17,158246,Gavan Gardener,0,0,0
18,720188,Kyle Griffiths,0,0,0
19,1171274,Keiran Davidson,0,0,0
20,342625,Jean McCluan,0,0,0
21,361745,Jake Pitt,0,0,0
22,1095068,Adam Wilson-Weir,0,0,0
