Pos,ID,Name,Endurance-Endurance Fastest Lap,Endurance-Endurance Race,Total
1,872230,Luca Munro,0,50,50
2,795214,James Smaggasgale,2,45,47
3,322197,Nathan Healy,0,40,40
4,69997,Ryan G Walker,0,0,0
5,839172,Diogo L Sá,0,0,0
6,532447,Paul N T Williams,0,0,0
7,888953,Wesley Lewin,0,0,0
8,170412,Jorge Bentes,0,0,0
9,547183,Dwayne Hoffman,0,0,0
10,214278,Mark Baker7,0,0,0
11,95699,Pedro Ramada,0,0,0
12,293812,Miguel Alpalhão,0,0,0
