Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Total
1,493157,Patrick Falconer,0,0,0,0
2,458422,Lee Horne,0,0,0,0
3,208620,Martin Brinkworth,0,0,0,0
