Pos,ID,Name,Endurance Fastest Lap,Endurance Race,Total
1,807048,Benjamin Mccluskey,0,50,50
2,436196,Gareth Williams7,0,45,45
3,730048,Max Daleiden,2,40,42
4,717473,Shaun F Schutte,0,35,35
5,744833,Kerr Wharrie,0,0,0
6,929713,Toby Prosser,0,0,0
7,801520,Rui Soares3,0,0,0
8,684107,Stephan Wessels,0,0,0
9,505814,William Guthrie,0,0,0
10,144404,Igor Martinez,0,0,0
11,397835,Filipe Salvino,0,0,0
12,764555,Hugo Silva10,0,0,0
13,417499,Jamie Dorey,0,0,0
